model,mse,rmse,mae,r2
GradientBoosting,8.203841319594264e-06,0.0028642348576180454,0.0016743564073610528,0.9953649500749779
XGBoost,2.4479020929715972e-05,0.004947627808325518,0.003379554720909428,0.9861697124914035
RandomForest,3.6670064241526174e-05,0.00605558124720709,0.00335888372120011,0.9792819519671493
LinearRegression,0.00017485445592865846,0.013223254362246023,0.009655488044562772,0.9012097990113271
Ridge,0.00017637848338043403,0.013280756129845696,0.009669624220777284,0.9003487458715971
SVR,0.0037661319992743953,0.061368819438493316,0.05301621850000001,-1.1278092982085113
